wallet_id,score,explanation,liquidation_count,repayment_ratio,current_utilization,activity_frequency,asset_diversity
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,200,Liquidated 2 time(s); Active user; Well-diversified portfolio,2,0.818,0.003,3.42,4
0x330513970efd9e8dd606275fb4c50378989b3204,725,Excellent repayment history; Active user; Well-diversified portfolio,0,4.93,0.0,3.49,4
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,725,Excellent repayment history; Active user; Well-diversified portfolio,0,2.205,0.0,3.71,5
0x3867d222ba91236ad4d12c31056626f9e798629c,725,Excellent repayment history; Active user; Well-diversified portfolio,0,5.392,0.264,2.97,5
0x3a44be4581137019f83021eeee72b7dc57756069,725,Excellent repayment history; Active user; Well-diversified portfolio,0,42.93,0.203,2.24,4
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,700,Excellent repayment history; Well-diversified portfolio,0,2.538,0.0,1.86,4
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.477,0.042,2.76,4
0x4814be124d7fe3b240eb46061f7ddfab468fe122,0,Liquidated 2 time(s); Poor repayment history; High current utilization; Active user; Well-diversified portfolio,2,0.226,2.123,2.29,3
0x4839e666e2baf12a51bf004392b35972eeddeabf,375,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.114,1042.657,2.59,4
0x4c4d05fe859279c91b074429b5fc451182cec745,400,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.136,8.202,2.81,4
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.293,0.008,3.02,5
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,375,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.181,3.364,3.48,4
0x4e61251336c32e4fe6bfd5fab014846599321389,725,Excellent repayment history; Active user; Well-diversified portfolio,0,34.61,0.452,2.81,5
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,0,Liquidated 2 time(s); Poor repayment history; Active user; Well-diversified portfolio,2,0.0,0.666,2.12,4
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,750,Excellent repayment history; Active user; Well-diversified portfolio,0,217.832,0.133,3.62,5
0x54e19653be9d4143b08994906be0e27555e8834d,725,Excellent repayment history; Active user; Well-diversified portfolio,0,3.037,0.047,2.56,5
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,750,Excellent repayment history; Active user; Well-diversified portfolio,0,3.435,0.0,2.73,3
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,725,Excellent repayment history; Active user; Well-diversified portfolio,0,2.084,0.302,2.32,3
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.143,0.0,2.8,4
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,400,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.38,67.67,3.38,4
0x58d68d4bcf9725e40353379cec92b90332561683,600,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,1.764,408.272,2.7,5
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,750,Excellent repayment history; Active user; Well-diversified portfolio,0,1.232,0.0,2.69,5
0x612a3500559be7be7703de6dc397afb541a16f7f,575,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,7.597,2.057,3.85,5
0x623af911f493747c216ad389c7805a37019c662d,325,Poor repayment history; High current utilization; Well-diversified portfolio,0,0.0,8.671,1.74,5
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,475,Poor repayment history; Active user; Well-diversified portfolio,0,0.214,0.689,3.71,5
0x6d69ca3711e504658977367e13c300ab198379f1,400,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.385,403.388,4.34,5
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,400,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.153,32.302,2.76,5
0x70c1864282599a762c674dd9d567b37e13bce755,725,Excellent repayment history; Active user; Well-diversified portfolio,0,1.235,0.013,2.76,4
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.386,0.002,3.05,5
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,750,Excellent repayment history; Active user; Well-diversified portfolio,0,1.549,0.0,4.58,5
0x767055590c73b7d2aaa6219da13807c493f91a20,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.271,0.579,3.86,5
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.139,0.019,3.69,4
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,500,Liquidated 1 time(s); Excellent repayment history; Active user; Well-diversified portfolio,1,6.122,0.0,3.98,4
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,400,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.091,2.268,3.04,4
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,650,Active user; Well-diversified portfolio,0,0.724,0.0,2.53,5
0x7de76a449cf60ea3e111ff18b28e516d89532152,275,Liquidated 2 time(s); Excellent repayment history; Active user; Well-diversified portfolio,2,1.968,0.0,2.76,4
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,0,Liquidated 4 time(s); Excellent repayment history; Active user; Well-diversified portfolio,4,93.829,0.47,2.2,4
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,375,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.273,4.059,3.02,5
0x83ea74c67d393c6894c34c464657bda2183a2f1a,325,Poor repayment history; High current utilization; Well-diversified portfolio,0,0.149,89.201,1.03,4
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,475,Poor repayment history; Well-diversified portfolio,0,0.046,0.018,1.71,4
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.332,0.0,2.93,4
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.159,0.047,2.53,5
0x880a0af12da55df1197f41697c1a1b61670ed410,375,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.017,7.367,3.05,5
0x8aaece100580b749a20f8ce30338c4e0770b65ed,750,Excellent repayment history; Active user; Well-diversified portfolio,0,1.907,0.0,2.13,4
0x8be38ea2b22b706aef313c2de81f7d179024dd30,575,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,3.291,2.455,3.1,5
0x8d900f213db5205c529aaba5d10e71a0ed2646db,575,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,1.349,3.849,2.62,4
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.0,0.038,2.54,4
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,600,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,1.119,1.169,2.7,5
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,650,Active user; Well-diversified portfolio,0,0.838,0.0,3.25,5
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.45,0.0,2.05,4
0x9a363adc5d382c04d36b09158286328f75672098,600,Well-diversified portfolio,0,0.636,0.0,1.68,3
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,550,Liquidated 1 time(s); Excellent repayment history; Active user; Well-diversified portfolio,1,2.308,0.119,2.27,3
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,0,Liquidated 4 time(s); Poor repayment history; High current utilization; Active user; Well-diversified portfolio,4,0.189,199.249,2.39,4
0x9e6ec4e98793970a1307262ba68d37594e58cd78,600,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,6.826,36.001,4.43,5
0xa7e94d933eb0c439dda357f61244a485246e97b8,725,Excellent repayment history; Active user; Well-diversified portfolio,0,3.552,0.0,2.77,4
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.112,0.147,2.59,4
0xa98dc64bb42575efec7d1e4560c029231ce5da51,0,Liquidated 2 time(s); High current utilization; Active user; Well-diversified portfolio,2,0.817,1.223,2.03,4
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,725,Excellent repayment history; Active user; Well-diversified portfolio,0,13.503,0.0,3.58,4
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.141,0.256,3.31,5
0xb57297c5d02def954794e593db93d0a302e43e5c,750,Excellent repayment history; Active user; Well-diversified portfolio,0,5.707,0.283,3.37,5
0xbd4a00764217c13a246f86db58d74541a0c3972a,500,High current utilization; Active user; Well-diversified portfolio,0,0.855,14.299,4.36,4
0xc179d55f7e00e789915760f7d260a1bf6285278b,725,Excellent repayment history; Active user; Well-diversified portfolio,0,1.352,0.001,2.65,4
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,325,Poor repayment history; High current utilization; Well-diversified portfolio,0,0.365,1.955,1.34,3
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.412,0.0,2.82,4
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,250,Liquidated 1 time(s); Poor repayment history; Active user; Well-diversified portfolio,1,0.324,0.013,3.77,5
0xcf0033bf27804640e5339e06443e208db5870dd2,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.211,0.133,2.01,4
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,675,Excellent repayment history; Well-diversified portfolio,0,1.172,0.573,1.91,4
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,475,High current utilization; Active user; Well-diversified portfolio,0,0.636,7.038,3.37,5
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.267,0.0,3.52,4
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,600,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,1.798,2.313,3.33,4
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0,Liquidated 4 time(s); Excellent repayment history; Active user; Well-diversified portfolio,4,4.901,0.0,2.41,4
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,650,Active user; Well-diversified portfolio,0,0.729,0.0,2.97,4
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.134,0.543,2.86,4
0xebb8629e8a3ec86cf90cb7600264415640834483,400,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.157,255.934,2.79,3
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,475,Liquidated 1 time(s); Excellent repayment history; Active user; Well-diversified portfolio,1,1.648,0.0,2.03,5
0xf10fd8921019615a856c1e95c7cd3632de34edc4,325,Liquidated 1 time(s); Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,1,4.086,0.86,3.06,4
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,750,Excellent repayment history; Active user; Well-diversified portfolio,0,20.845,0.0,3.93,5
0xf54f36bca969800fd7d63a68029561309938c09b,750,Excellent repayment history; Active user; Well-diversified portfolio,0,8.316,0.0,4.56,5
0xf60304b534f74977e159b2e159e135475c245526,600,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,1.25,0.966,3.4,4
0xf67e8e5805835465f7eba988259db882ab726800,650,Active user; Well-diversified portfolio,0,0.658,0.013,3.88,5
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,450,Liquidated 1 time(s); Excellent repayment history; Active user; Well-diversified portfolio,1,2.472,0.0,2.73,4
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,375,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.308,1.089,3.05,5
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,675,Excellent repayment history; Well-diversified portfolio,0,3.328,0.0,1.71,4
